parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat,player_id,player_name
z_mu[64],0.5187076926231384,0.7422601580619812,0.5122647285461426,-0.6452865600585938,1.8211615085601807,2969.413161106228,0.9990882873535156,00-0033611,Ricky Seals-Jones
z_mu[65],0.29493555426597595,0.9925078749656677,0.2938460111618042,-1.409083604812622,1.8130820989608765,2170.4444661743914,0.9984437823295593,00-0033627,Jason Croom
z_mu[66],0.14409388601779938,0.6338067650794983,0.13400648534297943,-0.7712684869766235,1.3282215595245361,2659.869717846918,0.9987744688987732,00-0033658,Blake Jarwin
z_mu[67],-0.2211785912513733,0.8694419264793396,-0.2395624816417694,-1.542777180671692,1.2596700191497803,1752.975129104584,0.9983359575271606,00-0033720,Colin Thompson
z_mu[68],0.6213215589523315,0.4684259295463562,0.6048508286476135,-0.1406133472919464,1.4276158809661865,2549.2737380689937,0.9985648989677429,00-0033757,Robert Tonyan
z_mu[69],-0.6756933927536011,0.694622814655304,-0.6985311508178711,-1.7281538248062134,0.4954039752483368,1995.2979351422562,0.9999306201934814,00-0033798,Mason Schreck
z_mu[70],1.0059057474136353,0.4468831419944763,0.983728289604187,0.3327687978744507,1.8010846376419067,1598.19865615696,0.9984380006790161,00-0033858,Jonnu Smith
z_mu[71],-0.7503892779350281,0.4720095098018646,-0.7479135990142822,-1.5153193473815918,0.01473799254745245,1966.6419495096675,0.9993694424629211,00-0033879,O.J. Howard
z_mu[72],1.2345348596572876,0.44740375876426697,1.2385544776916504,0.4715178608894348,1.8883838653564453,1970.7512931061592,0.9980058670043945,00-0033881,Evan Engram
z_mu[73],1.2895885705947876,0.48364871740341187,1.283146619796753,0.5491095781326294,2.1235527992248535,2597.527909249918,0.9996551275253296,00-0033885,David Njoku
z_mu[74],0.8553948998451233,0.4242013394832611,0.8525021076202393,0.14440371096134186,1.4977693557739258,2026.4704148400904,0.9982538223266602,00-0033895,Gerald Everett
z_mu[75],-0.19065770506858826,0.490973562002182,-0.19535115361213684,-0.9809914827346802,0.5719378590583801,1864.5105119698628,0.9983690977096558,00-0033896,Adam Shaheen
z_mu[76],0.2744399607181549,0.43554022908210754,0.2856188714504242,-0.4157559275627136,1.0216253995895386,1246.3583652559032,0.9983383417129517,00-0034011,Dan Arnold
z_mu[77],0.2560690939426422,0.4868243336677551,0.24622991681098938,-0.5006476044654846,1.0823756456375122,1953.9274900467792,0.9982144832611084,00-0034073,Ross Dwelley
z_mu[78],0.27650827169418335,0.28566575050354004,0.2734290361404419,-0.1582702100276947,0.7681476473808289,951.5579148676347,0.9999168515205383,00-0034159,Will Dissly
z_mu[79],-0.3323427438735962,1.0039721727371216,-0.3422330319881439,-1.9170441627502441,1.4761028289794922,2367.0019527442596,0.9986703991889954,00-0034169,Marcus Baugh
