
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
    z_sigma[31]     -0.43      0.94     -0.39     -1.88      1.10   1952.08      1.00
    z_sigma[32]     -0.07      0.94     -0.07     -1.58      1.49   2104.93      1.00
    z_sigma[33]     -0.20      0.89     -0.21     -1.56      1.32   2409.96      1.00
    z_sigma[34]     -0.03      0.99     -0.04     -1.66      1.54   2610.31      1.00
    z_sigma[35]      0.93      1.03      0.98     -0.65      2.73    863.11      1.00
    z_sigma[36]     -0.31      1.01     -0.32     -1.86      1.34   2397.92      1.00
    z_sigma[37]      0.03      1.06      0.03     -1.71      1.85   1519.24      1.00
    z_sigma[38]     -0.00      1.08     -0.03     -1.76      1.81   2327.85      1.00
    z_sigma[39]      0.34      0.96      0.35     -1.15      1.96   1810.72      1.00
    z_sigma[40]      0.00      1.01     -0.02     -1.68      1.66   2716.10      1.00
    z_sigma[41]     -0.11      0.96     -0.10     -1.54      1.56   2436.66      1.00
    z_sigma[42]     -0.00      0.96      0.01     -1.47      1.63   2472.93      1.00
    z_sigma[43]      0.09      0.92      0.12     -1.30      1.72   2029.85      1.00
    z_sigma[44]      0.72      0.97      0.73     -0.80      2.32   1691.02      1.00
    z_sigma[45]      0.13      0.85      0.13     -1.17      1.57   1986.80      1.00
    z_sigma[46]     -0.18      0.93     -0.16     -1.63      1.40   2577.47      1.00
    z_sigma[47]     -0.14      1.04     -0.13     -1.98      1.39   2497.61      1.00
    z_sigma[48]      0.09      0.99      0.13     -1.49      1.64   2223.30      1.00
    z_sigma[49]      0.14      0.98      0.15     -1.32      1.80   2456.28      1.00
    z_sigma[50]     -0.14      0.99     -0.14     -1.75      1.46   2799.05      1.00
    z_sigma[51]      0.18      1.02      0.19     -1.32      1.91   1842.05      1.00
    z_sigma[52]      0.02      0.96      0.04     -1.46      1.71   2233.26      1.00
    z_sigma[53]      0.09      0.88      0.07     -1.43      1.52   2052.51      1.00
    z_sigma[54]     -0.36      0.98     -0.37     -1.78      1.42   1766.35      1.00
    z_sigma[55]     -0.16      1.04     -0.16     -1.92      1.43   2297.73      1.00
    z_sigma[56]      0.12      0.96      0.15     -1.33      1.72   1595.46      1.00
    z_sigma[57]     -0.09      0.97     -0.09     -1.75      1.45   2346.63      1.00
    z_sigma[58]      0.06      0.95      0.08     -1.48      1.67   2920.13      1.00
    z_sigma[59]     -0.29      1.00     -0.28     -1.70      1.47   2072.50      1.00
    z_sigma[60]     -0.01      1.03     -0.01     -1.61      1.84   2318.02      1.00
    z_sigma[61]      0.28      0.99      0.26     -1.47      1.79   2726.69      1.00
    z_sigma[62]     -0.36      1.05     -0.35     -1.81      1.58   2228.79      1.00
    z_sigma[63]     -0.17      0.96     -0.18     -1.74      1.40   2214.10      1.00
    z_sigma[64]      0.06      0.95      0.07     -1.49      1.60   2367.97      1.00
    z_sigma[65]     -0.05      0.96     -0.04     -1.46      1.56   2503.75      1.00
    z_sigma[66]     -0.19      0.93     -0.15     -1.83      1.23   1616.05      1.00
    z_sigma[67]     -0.04      0.88     -0.07     -1.42      1.39   1988.47      1.00
    z_sigma[68]      0.63      0.88      0.67     -0.73      2.16   1215.38      1.00
    z_sigma[69]     -0.05      1.10     -0.09     -1.92      1.70   2848.24      1.00
    z_sigma[70]     -0.11      1.04     -0.11     -1.82      1.55   2732.66      1.00
    z_sigma[71]      0.03      0.98      0.04     -1.42      1.75   2156.14      1.00
    z_sigma[72]      0.35      1.02      0.38     -1.33      2.05   1850.48      1.00
    z_sigma[73]     -0.23      0.94     -0.24     -1.66      1.37   1988.41      1.00
    z_sigma[74]      0.01      1.03      0.04     -1.79      1.49   2299.79      1.00
    z_sigma[75]     -0.24      0.91     -0.26     -1.53      1.35   1567.84      1.00
    z_sigma[76]     -0.03      1.01     -0.04     -1.79      1.55   2902.97      1.00
    z_sigma[77]      0.18      1.03      0.17     -1.42      1.94   2411.36      1.00
    z_sigma[78]      0.04      0.97      0.03     -1.48      1.62   2684.19      1.00
    z_sigma[79]     -0.10      0.89     -0.08     -1.63      1.27   2185.16      1.00
    z_sigma[80]      0.14      0.97      0.15     -1.52      1.64   1976.23      1.00
    z_sigma[81]      0.64      1.01      0.68     -1.14      2.18   1195.93      1.00
    z_sigma[82]     -0.09      0.92     -0.09     -1.67      1.39   1636.88      1.00
    z_sigma[83]     -0.08      1.07     -0.06     -1.67      1.68   3015.07      1.00
    z_sigma[84]     -0.06      0.99     -0.08     -1.60      1.58   2976.51      1.00
    z_sigma[85]      0.13      0.98      0.09     -1.47      1.72   2258.41      1.00
    z_sigma[86]     -0.01      1.00     -0.02     -1.52      1.63   2497.63      1.00
    z_sigma[87]      0.08      0.89      0.12     -1.38      1.47   3639.78      1.00
    z_sigma[88]      0.02      1.03     -0.00     -1.77      1.64   2151.73      1.00
    z_sigma[89]      0.07      0.91      0.07     -1.49      1.51   2108.81      1.00
    z_sigma[90]      0.08      0.92      0.07     -1.48      1.62   2056.19      1.00
    z_sigma[91]      0.05      0.99      0.07     -1.42      1.84   2279.84      1.00
    z_sigma[92]     -0.01      1.00     -0.01     -1.62      1.68   2998.00      1.00
    z_sigma[93]      0.26      0.99      0.28     -1.36      1.85   2049.15      1.00
    z_sigma[94]      0.22      0.90      0.21     -1.32      1.60   1951.75      1.00
    z_sigma[95]     -0.05      1.00     -0.06     -1.69      1.59   1812.96      1.00
    z_sigma[96]      0.26      0.97      0.25     -1.20      1.90   2231.55      1.00
    z_sigma[97]     -0.13      1.04     -0.12     -1.67      1.60   2748.34      1.00
    z_sigma[98]     -0.01      1.04     -0.02     -1.77      1.62   2113.28      1.00
    z_sigma[99]      0.45      1.00      0.47     -1.27      1.98   2292.70      1.00
   z_sigma[100]      0.03      0.99      0.04     -1.71      1.54   1773.87      1.00
   z_sigma[101]     -0.25      0.91     -0.26     -1.85      1.08   1689.53      1.00
   z_sigma[102]     -0.16      0.93     -0.16     -1.62      1.37   2162.58      1.00
   z_sigma[103]      0.12      1.04      0.11     -1.67      1.74   2057.53      1.00
   z_sigma[104]     -0.20      0.94     -0.18     -1.62      1.37   2351.15      1.00
   z_sigma[105]      0.28      0.96      0.28     -1.10      2.02   2243.54      1.00
   z_sigma[106]     -0.02      0.99     -0.02     -1.52      1.68   3860.76      1.00
   z_sigma[107]      0.03      1.02      0.03     -1.68      1.63   3148.67      1.00
   z_sigma[108]     -0.19      1.02     -0.23     -1.91      1.40   3087.45      1.00
   z_sigma[109]      0.29      0.96      0.27     -1.31      1.77   1606.40      1.00
   z_sigma[110]     -0.49      0.98     -0.51     -2.29      0.95   1931.22      1.00
   z_sigma[111]      0.06      1.00      0.03     -1.59      1.59   2066.52      1.00
   z_sigma[112]     -0.05      0.95     -0.05     -1.55      1.45   2372.62      1.00
   z_sigma[113]      0.04      1.06      0.01     -1.68      1.77   2858.47      1.00
   z_sigma[114]      0.02      1.02      0.02     -1.72      1.61   3516.55      1.00
   z_sigma[115]      0.03      1.03      0.04     -1.59      1.66   1800.76      1.00
   z_sigma[116]      0.02      0.93      0.00     -1.50      1.61   1889.55      1.00
   z_sigma[117]     -0.02      0.95     -0.03     -1.49      1.51   2502.34      1.00
   z_sigma[118]     -0.04      0.99     -0.03     -1.54      1.66   2201.91      1.00
   z_sigma[119]     -0.03      0.95     -0.02     -1.50      1.56   2576.05      1.00
   z_sigma[120]     -0.29      0.95     -0.27     -1.76      1.38   2124.32      1.00
